home_buildUpPlaySpeed,home_buildUpPlayDribbling,home_buildUpPlayPassing,home_chanceCreationPassing,home_chanceCreationCrossing,home_chanceCreationShooting,home_defencePressure,home_defenceAggression,home_defenceTeamWidth,away_buildUpPlaySpeed,away_buildUpPlayDribbling,away_buildUpPlayPassing,away_chanceCreationPassing,away_chanceCreationCrossing,away_chanceCreationShooting,away_defencePressure,away_defenceAggression,away_defenceTeamWidth,home_win_percentage,away_win_percentage,home_avg_goal_diff,away_avg_goal_diff,home_buildUpPlaySpeedClass_Fast,home_buildUpPlaySpeedClass_Slow,home_buildUpPlayDribblingClass_Lots,home_buildUpPlayDribblingClass_Normal,home_buildUpPlayPassingClass_Mixed,home_buildUpPlayPassingClass_Short,home_buildUpPlayPositioningClass_Organised,home_chanceCreationPassingClass_Risky,home_chanceCreationPassingClass_Safe,home_chanceCreationCrossingClass_Lots,home_chanceCreationCrossingClass_Normal,home_chanceCreationShootingClass_Lots,home_chanceCreationShootingClass_Normal,home_chanceCreationPositioningClass_Organised,home_defencePressureClass_High,home_defencePressureClass_Medium,home_defenceAggressionClass_Double,home_defenceAggressionClass_Press,home_defenceTeamWidthClass_Normal,home_defenceTeamWidthClass_Wide,home_defenceDefenderLineClass_Offside Trap,away_buildUpPlaySpeedClass_Fast,away_buildUpPlaySpeedClass_Slow,away_buildUpPlayDribblingClass_Lots,away_buildUpPlayDribblingClass_Normal,away_buildUpPlayPassingClass_Mixed,away_buildUpPlayPassingClass_Short,away_buildUpPlayPositioningClass_Organised,away_chanceCreationPassingClass_Risky,away_chanceCreationPassingClass_Safe,away_chanceCreationCrossingClass_Lots,away_chanceCreationCrossingClass_Normal,away_chanceCreationShootingClass_Lots,away_chanceCreationShootingClass_Normal,away_chanceCreationPositioningClass_Organised,away_defencePressureClass_High,away_defencePressureClass_Medium,away_defenceAggressionClass_Double,away_defenceAggressionClass_Press,away_defenceTeamWidthClass_Normal,away_defenceTeamWidthClass_Wide,away_defenceDefenderLineClass_Offside Trap,stat_diff,chance_creation_diff,goal_difference,win_percentage_diff,result
38.0,45.0,39.0,29.0,30.0,39.0,25.0,37.0,35.0,52.0,49.0,54.0,45.0,42.0,53.0,42.0,47.0,44.0,0.25,0.4393939393939394,-0.6354166666666666,0.07575757575757576,False,False,False,True,True,False,True,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,True,False,False,-15.0,-16.0,-0.7111742424242424,-0.1893939393939394,1
50.0,55.0,37.0,28.0,66.0,34.0,55.0,59.0,52.0,69.0,44.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0,0.5,0.1746031746031746,0.6284403669724771,-0.8650793650793651,False,False,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False,True,True,False,False,True,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,True,False,False,-21.0,-28.0,1.4935197320518423,0.3253968253968254,2
54.0,45.0,62.0,55.0,58.0,60.0,45.0,54.0,52.0,60.0,47.0,53.0,48.0,50.0,48.0,42.0,48.0,49.0,0.5,0.3021978021978022,0.41037735849056606,-0.35714285714285715,False,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,True,False,False,9.0,7.0,0.7675202156334232,0.19780219780219782,2
38.0,45.0,39.0,29.0,30.0,39.0,25.0,37.0,35.0,42.0,52.0,45.0,42.0,57.0,47.0,51.0,50.0,57.0,0.25,0.5801886792452831,-0.6354166666666666,0.8018867924528302,False,False,False,True,True,False,True,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,True,False,False,-6.0,-13.0,-1.4373034591194969,-0.33018867924528306,1
53.0,49.0,43.0,52.0,58.0,42.0,59.0,47.0,62.0,50.0,55.0,37.0,28.0,66.0,34.0,55.0,59.0,52.0,0.31868131868131866,0.5,-0.33516483516483514,0.6284403669724771,False,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False,True,True,False,False,6.0,24.0,-0.9636052021373123,-0.18131868131868134,0
69.0,44.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0,52.0,49.0,54.0,45.0,42.0,53.0,42.0,47.0,44.0,0.1746031746031746,0.4393939393939394,-0.8650793650793651,0.07575757575757576,True,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,True,False,False,4.0,11.0,-0.9408369408369409,-0.2647907647907648,2
52.0,42.0,40.0,47.0,53.0,50.0,42.0,51.0,52.0,58.0,52.0,38.0,67.0,48.0,56.0,47.0,45.0,55.0,0.37264150943396224,0.45754716981132076,-0.11320754716981132,0.45754716981132076,False,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,True,False,False,False,False,False,True,True,False,True,True,False,False,True,False,True,True,False,True,False,True,True,False,False,2.0,-20.0,-0.5707547169811321,-0.08490566037735853,2
54.0,42.0,51.0,47.0,52.0,32.0,44.0,58.0,37.0,42.0,40.0,47.0,37.0,67.0,30.0,46.0,45.0,52.0,0.36792452830188677,0.3867924528301887,0.12264150943396226,0.0330188679245283,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,True,False,True,True,False,False,4.0,10.0,0.08962264150943397,-0.018867924528301938,2
42.0,52.0,45.0,42.0,57.0,47.0,51.0,50.0,57.0,54.0,45.0,62.0,55.0,58.0,60.0,45.0,54.0,52.0,0.5801886792452831,0.5,0.8018867924528302,0.41037735849056606,False,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,True,False,False,-17.0,-13.0,0.3915094339622642,0.08018867924528306,2
52.0,46.0,51.0,60.0,53.0,47.0,60.0,50.0,65.0,58.0,52.0,38.0,67.0,48.0,56.0,47.0,45.0,55.0,0.6415094339622641,0.45754716981132076,1.1556603773584906,0.45754716981132076,False,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,True,False,False,False,False,False,True,True,False,True,True,False,False,True,False,True,True,False,True,False,True,True,False,False,13.0,-7.0,0.6981132075471699,0.18396226415094336,0
